subject_id,window_idx,label,label_name,MeanNN,MedianNN,SDNN,RMSSD,pNN50,MeanHR,SDHR,VLF_power,LF_power,HF_power,Total_power,LF_HF_ratio,LF_norm,HF_norm,SampEn
S2,0,1,baseline,0.6947978436657684,0.6871428571428572,0.05524037265235461,0.04271083083532375,13.461538461538462,86.87829397581044,6.719423821362703,0.0,0.000494806580779907,0.0009058860716700034,0.002004458284757975,0.5462128144521857,35.32584967262128,64.67415032737873,1.1314021114911006
S2,1,1,baseline,0.7982857142857144,0.8071428571428572,0.08355509608415668,0.06371222370141849,31.25,76.00391418139988,8.220945587984595,0.0005770252092083945,0.0022298779950740205,0.0016120525570881426,0.005098907832881907,1.3832539052584356,58.040559682139204,41.9594403178608,1.9740810260220096
S2,2,1,baseline,0.853816631130064,0.8685714285714285,0.06340395180504187,0.046512578013048395,27.272727272727273,70.66608478967025,5.39054235859147,0.001014054607008652,0.001233309950537603,0.0005183653945482823,0.0038431258200123082,2.379228944502252,70.40745044437064,29.592549555629365,2.70805020110221
S2,3,1,baseline,0.8636160714285716,0.8692857142857142,0.058406087491300634,0.046369315055161286,28.571428571428573,69.80428790312199,4.956599668381172,0.000647074851186748,0.0011989827694491256,0.0004512395339660006,0.0029133095371771966,2.657087154822443,72.65583351817736,27.34416648182265,1.410986973710262
S2,4,1,baseline,0.8158163265306121,0.8235714285714286,0.0648112046376865,0.07217662125250385,39.130434782608695,74.01893899245809,6.066458893517047,9.646627406706437e-05,0.0008845139769309335,0.0006945924482574177,0.0019079261976714167,1.2734287266583273,56.0135759580252,43.9864240419748,2.0149030205422647
S2,5,1,baseline,0.8040993788819875,0.8085714285714286,0.06415996713809913,0.06733033008488623,38.23529411764706,75.1049726291061,6.232389175383152,0.0006903235072185421,0.00044382326119782187,0.0028719893635217753,0.004494604158561805,0.15453513402068586,13.385052517415815,86.61494748258418,
S2,6,1,baseline,0.8228778467908903,0.8314285714285714,0.05650669666441812,0.056297582249212455,39.705882352941174,73.27284290744132,5.312222580597523,4.641981839497047e-05,0.00043624747146975463,0.0008148633338484175,0.0013736755627956477,0.5353627453200713,34.868811748357636,65.13118825164237,1.8718021769015913
S2,7,1,baseline,0.8266269841269841,0.8314285714285714,0.05065895502651051,0.05156950285396178,32.394366197183096,72.86412415271997,4.647604311989702,0.00010235351169497768,0.0021971532383411483,0.0004509034163675155,0.003035792552997044,4.872780197678356,82.97228967644111,17.027710323558896,2.5649493574615367
S2,8,1,baseline,0.8263877551020409,0.8271428571428572,0.057130289212411006,0.05260698455544248,28.985507246376812,72.95364967981973,5.140049861452142,8.516864430520153e-05,0.001413780487236747,0.0005543082515595372,0.0021342499487417782,2.550531194978784,71.83520028174331,28.16479971825667,2.6741486494265287
S2,9,1,baseline,0.837205882352941,0.8421428571428571,0.07387306820157831,0.0616584680057815,43.28358208955224,72.22782552270374,6.492735174380185,0.0002612947939514285,0.0024670448320775916,0.0008013433121372501,0.0041066482842726775,3.0786365777456544,75.4820028473162,24.51799715268381,2.2246235515243336
